"","Date","Ticker","Price"
"1050",20110303,"MSFT",26.2
"1051",20110304,"MSFT",25.9525
"1052",20110307,"MSFT",25.72
"1053",20110308,"MSFT",25.91
"1054",20110309,"MSFT",25.89
"1055",20110310,"MSFT",25.41
"1056",20110311,"MSFT",25.68
"1057",20110314,"MSFT",25.69
"1058",20110315,"MSFT",25.39
"1059",20110316,"MSFT",24.79
"1060",20110317,"MSFT",24.78
"1061",20110318,"MSFT",24.8
"1062",20110321,"MSFT",25.33
"1063",20110322,"MSFT",25.295
"1064",20110323,"MSFT",25.54
"1065",20110324,"MSFT",25.81
"1066",20110325,"MSFT",25.62
"1067",20110328,"MSFT",25.41
"1068",20110329,"MSFT",25.49
"1069",20110330,"MSFT",25.61
"1070",20110331,"MSFT",25.39
"1071",20110401,"MSFT",25.48
"1072",20110404,"MSFT",25.55
"1073",20110405,"MSFT",25.78
"1074",20110406,"MSFT",26.15
"1075",20110407,"MSFT",26.2
"1076",20110408,"MSFT",26.07
"1077",20110411,"MSFT",25.98
"1078",20110412,"MSFT",25.64
"1079",20110413,"MSFT",25.63
"1080",20110414,"MSFT",25.42
"1081",20110415,"MSFT",25.37
"1082",20110418,"MSFT",25.08
"1083",20110419,"MSFT",25.15
"1084",20110420,"MSFT",25.76
"1085",20110421,"MSFT",25.52
"1086",20110425,"MSFT",25.61
"1087",20110426,"MSFT",26.19
"1088",20110427,"MSFT",26.38
"1089",20110428,"MSFT",26.71
"1090",20110429,"MSFT",25.92
"1091",20110502,"MSFT",25.66
"1092",20110503,"MSFT",25.81
"1093",20110504,"MSFT",26.06
"1094",20110505,"MSFT",25.79
"1095",20110506,"MSFT",25.87
"1096",20110509,"MSFT",25.83
"1097",20110510,"MSFT",25.67
"1098",20110511,"MSFT",25.36
"1099",20110512,"MSFT",25.32
"1100",20110513,"MSFT",25.03
"1101",20110516,"MSFT",24.57
"1102",20110517,"MSFT",24.52
"1103",20110518,"MSFT",24.69
"1104",20110519,"MSFT",24.715
"1105",20110520,"MSFT",24.49
"1106",20110523,"MSFT",24.17
"1107",20110524,"MSFT",24.15
"1108",20110525,"MSFT",24.19
"1109",20110526,"MSFT",24.67
"1110",20110527,"MSFT",24.76
