PERMNO,date,Ticker,Price,Shares_outstanding,Stock_return,SP_Return,marketcap,beta
91787,2011-12-30,USD,33.9,1275,-0.049621,0.008533,43222.5,0.7895267643903419
91787,2012-01-31,USD,40.87,1125,0.205605,0.043583,45978.75,0.7895267643903419
91787,2012-02-29,USD,43.1,1125,0.054563,0.040589,48487.5,0.7895267643903419
91787,2012-03-30,USD,45.45,1050,0.054524,0.031332,47722.5,0.7895267643903419
91787,2012-04-30,USD,41.63,975,-0.084048,-0.007497,40589.25,0.7895267643903419
91787,2012-05-31,USD,33.62,975,-0.192409,-0.062651,32779.5,0.7895267643903419
91787,2012-06-29,USD,35.45,975,0.054432,0.039555,34563.75,0.7895267643903419
91787,2012-07-31,USD,33.99,975,-0.041185,0.012598,33140.25,0.7895267643903419
91787,2012-08-31,USD,35.03,975,0.030597,0.019763,34154.25,0.7895267643903419
91787,2012-09-28,USD,30.56,975,-0.127605,0.024236,29796.0,0.7895267643903419
91787,2012-10-31,USD,28.4999,975,-0.067412,-0.019789,27787.4025,0.7895267643903419
91787,2012-11-30,USD,28.02,1200,-0.016839,0.002847,33624.0,0.7895267643903419
91787,2012-12-31,USD,30.25,1275,0.079586,0.007068,38568.75,0.7895267643903419
91787,2013-01-31,USD,33.47,1050,0.106446,0.050428,35143.5,0.7895267643903419
91787,2013-02-28,USD,34.85,1125,0.041231,0.011061,39206.25,0.7895267643903419
91787,2013-03-28,USD,37.15,900,0.065997,0.035988,33435.0,0.7895267643903419
91787,2013-04-30,USD,38.94,900,0.048183,0.018086,35046.0,0.7895267643903419
91787,2013-05-31,USD,42.49,825,0.091166,0.020763,35054.25,0.7895267643903419
91787,2013-06-28,USD,41.84,750,-0.015298,-0.014999,31380.000000000004,0.7895267643903419
91787,2013-07-31,USD,42.574,750,0.017543,0.049462,31930.5,0.7895267643903419
91787,2013-08-30,USD,39.2,750,-0.07925,-0.031298,29400.000000000004,0.7895267643903419
91787,2013-09-30,USD,44.0001,675,0.122451,0.029749,29700.0675,0.7895267643903419
